product_category_name_english,product_category_name_italian
health beauty,salute bellezza
computers accessories,informatica accessori
auto,auto
bed bath table,letto bagno tavola
furniture decor,mobili decorazione
sports leisure,sport tempo libero
perfumery,profumeria
housewares,articoli per la casa
telephony,telefonia
watches gifts,orologi regali
food drink,cibi bevande
baby,neonati
stationery,cartoleria
tablets printing image,tablet stampa immagine
toys,giocattoli
fixed telephony,telefonia fissa
garden tools,attrezzi da giardino
fashion bags accessories,moda borse accessori
small appliances,piccoli elettrodomestici
consoles games,console videogiochi
audio,audio
fashion shoes,moda calzature
cool stuff,articoli cool
luggage accessories,valigie accessori
air conditioning,climatizzazione
construction tools construction,costruzione attrezzi edili
kitchen dining laundry garden furniture,mobili cucina lavanderia sala giardino
construction tools garden,attrezzi da giardino costruzione
fashion male clothing,moda abbigliamento uomo
pet shop,negozio animali
office furniture,mobili ufficio
market place,marketplace
electronics,elettronica
home appliances,elettrodomestici
party supplies,articoli per feste
home comfort,casa comfort
construction tools tools,attrezzi da costruzione
agro industry and commerce,agroindustria e commercio
furniture mattress and upholstery,mobili materassi imbottiti
books technical,libri tecnici
home construction,casa costruzione
musical instruments,strumenti musicali
furniture living room,mobili soggiorno
construction tools lights,illuminazione costruzione
industry commerce and business,industria commercio affari
food,alimenti
art,arte
furniture bedroom,mobili camera da letto
books general interest,libri interesse generale
construction tools safety,sicurezza costruzione
fashion underwear beach,intimo costumi da bagno
fashion sport,moda sport
signaling and security,segnaletica sicurezza
computers,computer
christmas supplies,articoli natalizi
fashion female clothing,moda abbigliamento donna
books imported,libri importati
drinks,bevande
cine photo,foto video
la cuisine,la cuisine
music,musica
small appliances home oven and coffee,piccoli elettrodomestici casa forno caffe
cds dvds musicals,cd dvd musicali
dvds blu ray,dvd blu ray
flowers,fiori
arts and craftmanship,arti e artigianato
diapers and hygiene,pannolini igiene
fashion children clothes,moda abbigliamento bambini
security and services,sicurezza e servizi
pc gamer,giochi pc
video photo,video foto
uncategorized,senza categoria
